,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
718,EST,2044,557077.0951027219,194901.15817056634,0.3498638875730973,0.0001361124269027,0.65,CIR
719,EST,2045,558594.0026262886,195449.87411588596,0.34989611989559105,0.0001038801044089,0.65,CIR
720,EST,2046,559971.177154715,195945.51748855988,0.3499207199988114,7.928000118858841e-05,0.65,CIR
721,EST,2047,561192.4357326848,196383.39747115507,0.34993949484504316,6.050515495681103e-05,0.65,CIR
722,EST,2048,562269.725114941,196768.4402525199,0.3499538236960844,4.617630391555919e-05,0.65,CIR
723,EST,2049,563176.7268237367,197092.00764844147,0.34996475930392523,3.524069607473384e-05,0.65,CIR
724,EST,2050,563919.3443714335,197356.60402015754,0.3499731051789665,2.6894821033490693e-05,0.65,CIR
725,LVA,2022,853744.8282471254,60625.83748392438,0.07101166001602482,0.4656262906928819,0.4633620492910932,CIR
726,LVA,2023,847886.0323369729,74086.92128475884,0.0873783957503792,0.4242163052251955,0.4884052990244253,CIR
727,LVA,2024,847020.894181861,89067.84730042021,0.10515425051757549,0.3838842528654442,0.5109614966169803,CIR
728,LVA,2025,848567.6069258803,104991.96922364601,0.1237284670858485,0.3451212746069128,0.5311502583072387,CIR
729,LVA,2026,848449.4742143936,120901.77406634396,0.14249731744873878,0.3083398203840723,0.5491628621671889,CIR
730,LVA,2027,846673.069762272,136238.8138115749,0.16091076789513087,0.2738597733732501,0.565229458731619,CIR
731,LVA,2028,843766.7888071391,150615.2593479942,0.17850342220855117,0.2419030645780074,0.5795935132134414,CIR
732,LVA,2029,840031.9502223674,163730.74145678955,0.19491013575548868,0.2125960587643043,0.592493805480207,CIR
733,LVA,2030,835801.1835632629,175408.60032004325,0.20986881063296117,0.1859781225485365,0.6041530668185023,CIR
734,LVA,2031,831328.1252555382,185563.93154486397,0.22321382605433243,0.162014354539103,0.6147718194065646,CIR
735,LVA,2032,826724.547467727,194167.51726987163,0.2348636167446708,0.1406104379878184,0.6245259452675108,CIR
736,LVA,2033,822092.3126688937,201252.66040601773,0.24480542793625945,0.121627857444248,0.6335667146194925,CIR
737,LVA,2034,817867.481835148,206985.53215996042,0.25307954742927546,0.1048981628417434,0.6420222897289811,CIR
738,LVA,2035,813638.9833021874,211354.5704207094,0.25976455744895377,0.0902354425510462,0.65,CIR
739,LVA,2036,809370.1953124,220596.60317995326,0.27255340566971037,0.0774465943302896,0.65,CIR
740,LVA,2037,805089.8164993282,228372.3290144651,0.28366068522325627,0.0663393147767437,0.65,CIR
741,LVA,2038,800754.4459192165,234838.89559715343,0.293272047122477,0.056727952877523,0.65,CIR
742,LVA,2039,796371.2978675878,240155.71762069737,0.3015624976235996,0.0484375023764004,0.65,CIR
743,LVA,2040,791964.1549636029,244474.53371426061,0.3086939379541694,0.0413060620458306,0.65,CIR
744,LVA,2041,787523.7738664635,247923.4339603749,0.31481390427511596,0.035186095724884,0.65,CIR
745,LVA,2042,783042.1315621375,250616.70950298748,0.3200552044409376,0.0299447955590624,0.65,CIR
746,LVA,2043,778517.4546301202,252657.09017099507,0.32453619205112677,0.0254638079488732,0.65,CIR
747,LVA,2044,773927.1508716671,254127.85454858595,0.32836146691890067,0.0216385330810993,0.65,CIR
748,LVA,2045,769269.3694677575,255107.29132022572,0.3316228377801257,0.0183771622198743,0.65,CIR
749,LVA,2046,764511.5660879123,255652.9920892907,0.334400424309464,0.015599575690536,0.65,CIR
750,LVA,2047,759617.725697812,255811.7593791008,0.3367638099072833,0.0132361900927167,0.65,CIR
751,LVA,2048,754611.9861859006,255642.30538116774,0.3387731841807633,0.0112268158192367,0.65,CIR
752,LVA,2049,749435.0790741077,255167.98186822038,0.34048043518788657,0.0095195648121134,0.65,CIR
753,LVA,2050,744091.0978454703,254427.19355751836,0.3419301672795402,0.0080698327204598,0.65,CIR
754,LTU,2022,1373112.8571135516,466208.95444296213,0.33952704763320724,0.0867153431913868,0.573757609175406,CIR
755,LTU,2023,1365766.1719701537,482238.53604657116,0.35309011596833545,0.0630904588744617,0.5838194251572029,CIR
756,LTU,2024,1367430.1888053447,495364.187973933,0.36225921588487664,0.0455809428774301,0.5921598412376933,CIR
757,LTU,2025,1375599.4790069575,506137.0055182306,0.36793922449258987,0.0327610295292482,0.5992997459781619,CIR
758,LTU,2026,1385899.8942521424,514074.12864729954,0.3709316457699159,0.0234582230018524,0.6056101312282317,CIR
759,LTU,2027,1391520.7541099496,517503.4436850131,0.3718977544219388,0.0167513139272896,0.6113509316507716,CIR
760,LTU,2028,1392941.2462040961,517281.5039326182,0.37135916919845824,0.0119385387481483,0.6167022920533934,CIR
761,LTU,2029,1391263.0757697548,514371.2209153046,0.36971528237440965,0.0084965671372522,0.6217881504883381,CIR
762,LTU,2030,1387848.3472045783,509709.18367431045,0.3672657640879662,0.0060408784832736,0.6266933574287602,CIR
763,LTU,2031,1383580.1966865477,503944.629520961,0.36423232330719063,0.0042918655753444,0.631475811117465,CIR
764,LTU,2032,1378854.4786223166,497459.5033141347,0.36077737790805287,0.0030476917759845,0.6361749303159626,CIR
765,LTU,2033,1373869.6943927761,490497.6925586541,0.35701907870924005,0.0021634097228563,0.6408175115679037,CIR
766,LTU,2034,1369340.535614826,483436.0119551146,0.3530429424832988,0.0015353055476295,0.6454217519690717,CIR
767,LTU,2035,1364486.0123962979,476083.6874473372,0.3489106397003245,0.0010893602996755,0.65,CIR
768,LTU,2036,1359311.2005391372,474708.38438404346,0.3492271557798995,0.0007728442201005,0.65,CIR
769,LTU,2037,1353873.3020774494,473113.4053144067,0.34945175784797466,0.0005482421520253,0.65,CIR
770,LTU,2038,1348077.7383556536,471302.9571828046,0.34961111201026607,0.0003888879897339,0.65,CIR
771,LTU,2039,1342099.675503257,469364.6822665839,0.3497241604581886,0.0002758395418114,0.65,CIR
772,LTU,2040,1336020.4818244767,467345.77960601717,0.34980435252594877,0.0001956474740512,0.65,CIR
773,LTU,2041,1329883.0889534133,465274.5390970644,0.3498612343910806,0.0001387656089194,0.65,CIR
774,LTU,2042,1323685.0134848964,463159.4779688495,0.3499015802479162,9.841975208379798e-05,0.65,CIR
775,LTU,2043,1317429.6606386828,461008.41993829585,0.3499301964362951,6.980356370486781e-05,0.65,CIR
776,LTU,2044,1311152.9014992325,458838.6038741497,0.34995049269196027,4.950730803971736e-05,0.65,CIR
777,LTU,2045,1304816.4663599145,456639.9482043253,0.34996488776557777,3.511223442220933e-05,0.65,CIR
778,LTU,2046,1298390.5539549296,454404.36050076084,0.3499750973361859,2.490266381403263e-05,0.65,CIR
