Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
glass,source-segegated,P,mg/kgTS,79.1,184.6,1.333754740834387,MSW_URB_GLA
glass,source-segegated,Pb,mg/kgTS,27.6,151.79,4.49963768115942,MSW_URB_GLA
glass,source-segegated,Pd,mg/kgTS,0.098433,0.242967,1.4683490292889578,MSW_URB_GLA
glass,source-segegated,Pr,mg/kgTS,0.67053,2.21043,2.2965415417654698,MSW_URB_GLA
glass,source-segegated,Pt,mg/kgTS,0.018667,0.061033,2.269566614881877,MSW_URB_GLA
glass,source-segegated,Rb,mg/kgTS,13.771,35.523,1.579551230847433,MSW_URB_GLA
glass,source-segegated,Re,mg/kgTS,0.033567,0.106167,2.162838502100277,MSW_URB_GLA
glass,source-segegated,Rh,mg/kgTS,0.0021,0.0126,5.000000000000001,MSW_URB_GLA
glass,source-segegated,Ru,mg/kgTS,0.007467,0.031533,3.2229811169144233,MSW_URB_GLA
glass,source-segegated,S,mg/kgTS,213.23,2340.03,9.974206256155327,MSW_URB_GLA
glass,source-segegated,Sb,mg/kgTS,15.0027,26.9356,0.7953834976370919,MSW_URB_GLA
glass,source-segegated,Sc,mg/kgTS,1.157,1.6771,0.4495246326707001,MSW_URB_GLA
glass,source-segegated,Se,mg/kgTS,48.2502,65.5411,0.3583591363351862,MSW_URB_GLA
glass,source-segegated,Si,mg/kgTS,330813.0,338156.0,0.022196830233394697,MSW_URB_GLA
glass,source-segegated,Sm,mg/kgTS,0.4023,0.61273,0.5230673626646781,MSW_URB_GLA
glass,source-segegated,Sn,mg/kgTS,7.4585,26.445,2.5456190923107864,MSW_URB_GLA
glass,source-segegated,Sr,mg/kgTS,68.997,274.38,2.976694638897343,MSW_URB_GLA
glass,source-segegated,Ta,mg/kgTS,0.16947,0.7739,3.5665899569245294,MSW_URB_GLA
glass,source-segegated,Tb,mg/kgTS,0.0792,0.1186,0.4974747474747473,MSW_URB_GLA
glass,source-segegated,Th,mg/kgTS,0.8402,1.5187,0.8075458224232326,MSW_URB_GLA
glass,source-segegated,Ti,mg/kgTS,124.07,355.89,1.8684613524623197,MSW_URB_GLA
glass,source-segegated,Tl,mg/kgTS,0.5109,0.6108,0.19553728714034055,MSW_URB_GLA
glass,source-segegated,Tm,mg/kgTS,0.031,0.042367,0.3666774193548388,MSW_URB_GLA
glass,source-segegated,U,mg/kgTS,0.42,0.77243,0.8391190476190475,MSW_URB_GLA
glass,source-segegated,V,mg/kgTS,2.355,14.226,5.040764331210191,MSW_URB_GLA
glass,source-segegated,VS,%TS,0.39,0.80667,1.0683846153846153,MSW_URB_GLA
glass,source-segegated,W,mg/kgTS,0.5046,0.9796,0.9413396749900911,MSW_URB_GLA
glass,source-segegated,Yb,mg/kgTS,0.2497,0.3843,0.5390468562274728,MSW_URB_GLA
glass,source-segegated,Zn,mg/kgTS,56.83,396.15,5.970790075664262,MSW_URB_GLA
